ID,GrossMonthlyIncome,CreditCardPayment,CarPayment,StudentLoanPayments,AppraisedValue,DownPayment,LoanAmount,MonthlyMortgagePayment,CreditScore,LTV,DTI,FEDTI
72,8185,404,482,313,296998,41579.72,255418.28,1371.14,737,0.86,0.275765425,0.167518632
73,2670,395,410,316,430636,120578.08,310057.92,2062.82,646,0.72,1.074089888,0.77259176
74,2477,324,398,358,431552,25893.12,405658.88,2976.58,584,0.94,1.493169156,1.201687525
75,8620,244,486,214,453685,36294.8,417390.2,3062.66,549,0.92,0.439983759,0.355296984
76,8181,412,360,213,305392,58024.48,247367.52,1483.09,698,0.81,0.275649676,0.181284684
77,3913,362,426,274,248170,37225.5,210944.5,1132.4,726,0.85,0.490774342,0.289394327
78,7127,278,431,234,491642,132743.34,358898.66,2151.78,698,0.73,0.401400309,0.301919461
79,2138,397,488,233,462541,87882.79,374658.21,2246.27,649,0.81,1.464579046,1.050640786
80,8136,258,457,396,407840,77489.6,330350.4,1773.39,709,0.81,0.305849312,0.217968289
81,7944,384,414,353,304287,69986.01,234300.99,1558.81,645,0.77,0.296677996,0.196224824
82,9845,247,464,335,356831,67797.89,289033.11,1922.94,637,0.81,0.267540884,0.195321483
83,7436,244,374,273,302894,72694.56,230199.44,1689.12,531,0.76,0.310263583,0.227154384
84,2588,300,451,204,272185,54437,217748,1597.76,565,0.8,0.90755796,0.617372488
85,8097,387,443,295,258761,38814.15,219946.85,1318.69,695,0.85,0.265368655,0.162861554
86,7764,489,451,292,453895,63545.3,390349.7,2095.48,704,0.86,0.390968573,0.26989696
87,5770,408,474,415,273532,13676.6,259855.4,1728.82,644,0.95,0.452481802,0.299622184
88,3343,264,374,248,433090,34647.2,398442.8,2650.85,619,0.92,0.983801974,0.792955429
89,8256,233,499,400,392365,102014.9,290350.1,2130.49,502,0.74,0.346716328,0.258053537
90,5571,452,431,245,486339,121584.75,364754.25,1958.08,736,0.75,0.509976665,0.351477293
91,6880,488,438,270,429352,38641.68,390710.32,2866.89,529,0.91,0.551292151,0.416699128
92,4963,355,354,256,470956,47095.6,423860.4,2023.57,778,0.9,0.550588354,0.407731211
93,9908,340,408,415,493646,128347.96,365298.04,1743.99,763,0.74,0.251512919,0.176018369
94,8921,481,475,443,299451,59890.2,239560.8,1757.81,503,0.8,0.304204686,0.197041811
95,7028,424,433,348,451762,76799.54,374962.46,2494.63,621,0.83,0.476896699,0.354955891
96,9467,481,352,370,299205,44880.75,254324.25,1365.27,718,0.85,0.232203444,0.144213584
97,3408,427,417,326,454991,104647.93,350343.07,2330.84,613,0.77,0.931584507,0.683931925
98,9160,228,455,252,299081,74770.25,224310.75,1204.15,707,0.75,0.206020742,0.131457424
99,5200,438,480,447,387588,34882.92,352705.08,2588.02,548,0.91,0.674234615,0.497696154
100,4704,467,422,431,453290,45329,407961,2993.47,589,0.9,0.825355017,0.636366922
101,3566,291,479,353,443941,53272.92,390668.08,2866.58,523,0.88,1.019792485,0.803864274
102,8837,424,433,310,395914,51468.82,344445.18,2527.42,585,0.87,0.382982913,0.2860043
103,2985,420,402,274,484150,101671.5,382478.5,2293.15,680,0.79,1.04360134,0.768224456
104,8870,268,409,346,348057,34805.7,313251.3,1878.1,652,0.9,0.288060879,0.211736189
105,7171,460,449,261,347111,34711.1,312399.9,1677.03,730,0.9,0.360623344,0.233862781
106,8901,410,440,381,366209,43945.08,322263.92,2364.66,565,0.88,0.361157173,0.265662285
107,4289,256,387,348,462369,134087.01,328281.99,1567.27,781,0.71,0.515334577,0.365416181
108,9265,493,471,222,399977,95994.48,303982.52,2230.52,569,0.76,0.344794387,0.240746897
109,9740,354,406,237,385752,42432.72,343319.28,1843.01,705,0.89,0.267249487,0.189220739
110,9018,324,406,276,237087,68755.23,168331.77,1119.92,607,0.71,0.205136394,0.124187181
111,5927,486,383,282,397229,35750.61,361478.39,1524.01,841,0.91,0.403747258,0.257130083
112,7132,413,433,420,275140,41271,233869,986,837,0.85,0.256870443,0.13825014
113,5986,337,456,410,485934,68030.76,417903.24,1995.13,781,0.86,0.465775142,0.333299365
114,2478,330,442,271,372498,44699.76,327798.24,1382.01,843,0.88,0.86925343,0.557711864
115,9399,251,368,281,363241,39956.51,323284.49,1735.46,745,0.89,0.250501117,0.184643047
116,3141,228,385,391,302726,45408.9,257317.1,1228.47,783,0.85,0.586268704,0.391107927
117,2801,415,447,267,484987,53348.57,431638.43,2871.7,620,0.89,1.332988218,1.025240985
118,7145,348,379,359,248811,64690.86,184120.14,1103.89,682,0.74,0.256247726,0.154498251
119,5382,360,462,392,393000,102180,290820,1226.11,809,0.74,0.380548123,0.227816797
120,9986,227,386,438,266420,61276.6,205143.4,1505.27,536,0.77,0.212123974,0.150738033
121,3086,230,405,262,458876,82597.68,376278.32,2019.94,714,0.82,0.860317563,0.654549579
122,5889,208,402,278,408502,69445.34,339056.66,2487.88,585,0.83,0.526045169,0.422462218
123,6724,439,374,214,382436,19121.8,363314.2,2665.87,580,0.95,0.517381023,0.396470851
124,6455,381,471,380,349466,90861.16,258604.84,1234.62,781,0.74,0.32325639,0.191265686
125,5866,225,396,357,387925,100860.5,287064.5,1909.85,638,0.74,0.431443914,0.325579611
126,6116,311,372,235,384615,61538.4,323076.6,2149.44,619,0.84,0.463119686,0.351445389
127,7274,388,446,298,468506,51535.66,416970.34,3059.58,553,0.89,0.535273577,0.420618642
128,8937,485,371,240,433729,117106.83,316622.17,1334.89,831,0.73,0.24514826,0.149366678
129,7654,237,473,373,278267,66784.08,211482.92,1135.29,727,0.76,0.24108832,0.148326365
130,4237,388,473,333,408597,98063.28,310533.72,1861.81,671,0.76,0.642626859,0.43941704
131,4478,441,488,362,412097,61814.55,350282.45,1476.8,832,0.85,0.537248772,0.329790085
132,6391,290,380,355,352426,91630.76,260795.24,1099.52,807,0.74,0.276876858,0.172041934
133,9084,465,483,441,451587,108380.88,343206.12,1638.52,767,0.76,0.284733598,0.180374284
134,7085,361,391,278,321686,77204.64,244481.36,1030.74,844,0.76,0.251621736,0.145482004
135,2429,364,396,363,372747,37274.7,335472.3,1414.36,847,0.9,0.895166735,0.582280774
136,4687,273,368,429,352606,74047.26,278558.74,2043.97,502,0.79,0.572854705,0.43609345
137,3011,402,444,223,251619,37742.85,213876.15,1021.08,797,0.85,0.62008635,0.339116573
138,8012,303,415,296,345445,20726.7,324718.3,2160.36,640,0.94,0.359256116,0.269640539
139,3482,419,494,351,315903,69498.66,246404.34,1808.03,582,0.78,0.78145606,0.519250431
140,2440,282,387,228,306749,70552.27,236196.73,1267.96,745,0.77,0.793836066,0.519655738
141,7428,333,450,325,483190,28991.4,454198.6,2723.15,696,0.94,0.47201804,0.366606085
142,4338,356,381,267,366253,25637.71,340615.29,2499.31,589,0.93,0.746037344,0.576143384
143,4359,385,453,212,300132,69030.36,231101.64,974.33,835,0.77,0.415767378,0.22352145
144,6162,314,451,425,397060,39706,357354,2622.14,562,0.9,0.549681921,0.425533918
145,5040,475,392,323,491660,137664.8,353995.2,2355.14,641,0.72,0.639313492,0.467289683
146,2349,367,436,275,380825,41890.75,338934.25,2486.98,527,0.89,1.400587484,1.058739889
147,8313,215,415,433,449788,44978.8,404809.2,1932.62,772,0.9,0.30826657,0.232481655
148,5989,359,391,445,307494,79948.44,227545.56,1086.34,756,0.74,0.306618801,0.181389214
149,9775,338,415,252,300999,66219.78,234779.22,1120.87,789,0.78,0.191700256,0.114667008
150,7521,367,450,400,315187,18911.22,296275.78,1590.47,730,0.94,0.320099721,0.211470549
151,4757,238,477,304,360654,28852.32,331801.68,2434.64,565,0.92,0.66210637,0.511801556
152,3272,473,423,238,372878,33559.02,339318.98,1619.96,794,0.91,0.76893643,0.4950978
153,5906,377,427,402,298505,80596.35,217908.65,918.71,830,0.73,0.291688114,0.155555367
154,2251,351,487,256,466250,93250,373000,2481.58,625,0.8,1.474713461,1.102434474
155,3978,465,351,339,366200,87888,278312,2042.15,514,0.76,0.718489191,0.513360985
156,5968,323,467,267,394534,82852.14,311681.86,2287.01,502,0.79,0.515584786,0.383212131
157,5368,431,383,395,249720,22474.8,227245.2,1511.87,616,0.91,0.433284277,0.281644933
158,2180,413,421,339,357366,75046.86,282319.14,1878.28,649,0.79,1.244165138,0.86159633
159,8346,477,407,311,473151,33120.57,440030.43,2100.77,790,0.93,0.357628804,0.251709801
160,3715,438,420,268,274791,19235.37,255555.63,1875.18,540,0.93,0.73571467,0.504759085
161,8857,435,362,328,457372,59458.36,397913.64,2647.33,648,0.87,0.38888224,0.298896918
162,6154,335,415,442,454299,122660.73,331638.27,2206.4,638,0.73,0.48040299,0.358531037
163,5635,350,426,437,426555,81045.45,345509.55,2535.23,572,0.81,0.587618456,0.44990772
164,7348,474,396,404,258126,25812.6,232313.4,1545.59,633,0.9,0.328741154,0.21034159
165,2758,306,432,411,332291,63135.29,269155.71,1284.99,755,0.81,0.733498912,0.465913706
166,2793,278,390,313,414143,86970.03,327172.97,1961.57,665,0.79,0.941485858,0.702316506
167,2690,243,445,438,289614,14480.7,275133.3,1830.47,622,0.95,0.936234201,0.680472119
168,3985,342,388,418,433082,43308.2,389773.8,1860.84,772,0.9,0.650148055,0.466961104
169,9257,413,456,402,359040,57446.4,301593.6,1271.53,814,0.84,0.231233661,0.137358756
170,5229,289,398,350,303214,24257.12,278956.88,2046.89,598,0.92,0.522832282,0.391449608
171,8275,300,390,446,346956,52043.4,294912.6,2163.96,543,0.85,0.344889426,0.26150574
172,3988,220,360,215,252688,42956.96,209731.04,884.23,809,0.83,0.367158977,0.221722668
173,4161,348,422,318,346333,90046.58,256286.42,1880.54,566,0.74,0.636995914,0.451944244
174,9381,349,353,406,463171,69475.65,393695.35,2619.26,640,0.85,0.354041147,0.27920904
175,9342,262,362,249,255349,61283.76,194065.24,1423.98,518,0.76,0.219222864,0.152427746
176,8386,215,386,333,332049,23243.43,308805.57,2265.91,544,0.93,0.341868591,0.270201526
177,9203,475,433,341,236893,42640.74,194252.26,1425.35,699,0.82,0.253542323,0.154878844
178,4669,488,481,317,292928,26363.52,266564.48,1598.19,667,0.91,0.549837224,0.342298137
179,7324,264,406,286,303051,75762.75,227288.25,1220.13,710,0.75,0.258073457,0.166593392
180,9875,403,353,247,462698,55523.76,407174.24,2708.94,628,0.88,0.35088,0.274323038
181,8661,366,428,241,347876,80011.48,267864.52,1605.98,688,0.77,0.277101951,0.185426625
182,5517,449,464,286,333717,63406.23,270310.77,1139.64,812,0.81,0.372057278,0.206568787
183,2122,380,476,334,491976,49197.6,442778.4,3248.95,599,0.9,1.934472196,1.531079171
184,5251,344,372,232,496118,143874.22,352243.78,1681.67,797,0.71,0.456612074,0.320257094
185,7955,223,484,400,303839,63806.19,240032.81,1596.94,612,0.79,0.289621622,0.2007467
186,5760,200,436,269,350454,52568.1,297885.9,2185.78,593,0.85,0.489892361,0.379475694
187,6050,375,410,213,380961,102859.47,278101.53,2040.61,800,0.73,0.467042975,0.337290909
188,3022,210,482,391,382541,99460.66,283080.34,1193.48,801,0.74,0.623917935,0.39493051
189,2995,484,435,335,357027,92827.02,264199.98,1261.33,793,0.74,0.727989983,0.421145242
190,3962,243,474,263,484659,106624.98,378034.02,2266.5,686,0.78,0.753028773,0.572059566
191,2607,206,362,325,327745,58994.1,268750.9,1133.06,824,0.82,0.652497123,0.434622171
192,4672,445,461,249,339351,74657.22,264693.78,1263.69,780,0.78,0.464402825,0.270481592
193,4110,252,410,334,394634,82873.14,311760.86,2287.59,504,0.79,0.7176618,0.556591241
194,3868,286,404,259,466298,41966.82,424331.18,1789,846,0.91,0.64089969,0.462512927
195,7183,433,472,422,412631,103157.75,309473.25,2270.81,549,0.75,0.442128637,0.316136712
196,2341,354,374,449,291610,49573.7,242036.3,1775.98,800,0.83,1.069619821,0.758641606
197,6714,318,455,300,470192,56423.04,413768.96,3036.09,503,0.88,0.567335419,0.45220286
198,4400,433,398,241,258352,46503.36,211848.64,1554.47,506,0.82,0.542152273,0.353288636
199,7834,287,462,292,442455,44245.5,398209.5,2649.3,605,0.9,0.433788614,0.338179729
200,4956,303,460,280,230615,20755.35,209859.65,1126.57,730,0.91,0.381269169,0.227314366
201,9832,383,494,386,244232,39077.12,205154.88,1230.01,697,0.84,0.214301261,0.125102726
202,5533,281,377,267,241424,43456.32,197967.68,1452.62,509,0.82,0.381460329,0.262537502
203,4574,496,467,403,275641,52371.79,223269.21,1338.61,669,0.81,0.503194141,0.292656318
204,3520,345,479,307,407029,85476.09,321552.91,2359.44,577,0.79,0.904386364,0.670295455
205,5256,364,392,306,431155,38803.95,392351.05,1654.17,836,0.91,0.458555936,0.31472032
206,7622,279,352,318,264745,42359.2,222385.8,1631.79,562,0.84,0.296876148,0.214089478
207,2995,486,400,419,392361,47083.32,345277.68,2533.53,571,0.88,1.141746244,0.845919866
208,5638,453,468,202,459754,36780.32,422973.68,2814.05,648,0.92,0.662477829,0.499122029
209,8647,272,499,392,390637,89846.51,300790.49,1268.14,824,0.77,0.235820516,0.146656644
210,9694,288,448,214,496218,89319.24,406898.76,2184.32,748,0.82,0.301250258,0.225327006
211,9779,315,352,314,289557,69493.68,220063.32,1614.75,572,0.76,0.233331629,0.165124246
212,9472,326,361,348,498943,54883.73,444059.27,3258.35,588,0.89,0.41652766,0.3439981
213,6070,367,405,342,418896,92157.12,326738.88,2173.8,642,0.78,0.485304778,0.358121911
214,4283,203,431,240,390250,70245,320005,1717.86,741,0.82,0.549115106,0.401088022
215,2333,425,457,403,483907,91942.33,391964.67,1871.3,757,0.81,1.180154308,0.8021003
216,3262,244,416,318,269730,67432.5,202297.5,852.89,826,0.75,0.463792152,0.261462293
217,6184,216,464,408,401449,36130.41,365318.59,1961.11,740,0.91,0.427087646,0.317126455
218,9632,227,448,436,378822,83340.84,295481.16,2168.14,564,0.78,0.295176495,0.225097591
219,8315,385,428,228,243219,70533.51,172685.49,1267.1,543,0.71,0.250162357,0.152387252
220,8174,449,356,329,337517,60753.06,276763.94,2030.8,587,0.82,0.346929288,0.248446293
221,9152,214,416,269,453337,104267.51,349069.49,2561.35,572,0.77,0.348705201,0.279867788
222,3731,386,355,422,335153,40218.36,294934.64,1583.27,732,0.88,0.622961672,0.424355401
223,4718,213,371,371,253830,12691.5,241138.5,1294.48,729,0.95,0.398151759,0.274370496
224,4295,417,391,449,465924,69888.6,396035.4,1890.73,792,0.85,0.628342258,0.440216531
225,3955,401,414,267,346788,97100.64,249687.36,1832.12,507,0.72,0.669309735,0.463241466
226,9528,489,402,337,300287,60057.4,240229.6,1762.72,593,0.8,0.278518052,0.185004198
227,8952,329,358,348,320023,44803.22,275219.78,1650.08,690,0.86,0.261067918,0.18432529
228,3718,288,362,289,366513,76967.73,289545.27,1220.73,803,0.79,0.503154922,0.328329747
229,2447,341,371,424,331401,79536.24,251864.76,1202.44,788,0.76,0.782362076,0.491393543
230,9640,280,498,248,481661,28899.66,452761.34,3012.23,635,0.94,0.393177386,0.312471992
231,2318,221,431,352,447271,49199.81,398071.19,2648.38,611,0.89,1.423805004,1.142528041
232,3402,260,470,240,356531,64175.58,292355.42,1395.75,775,0.82,0.624853028,0.410273369
233,5639,317,430,420,237606,49897.26,187708.74,1248.83,635,0.79,0.353933322,0.221463025
234,4635,388,370,311,308046,55448.28,252597.72,1205.94,762,0.82,0.423719525,0.26018123
235,2741,270,455,334,471205,61256.65,409948.35,1728.36,814,0.87,0.895060197,0.63055819
236,7149,416,447,322,475594,52315.34,423278.66,2537.77,686,0.89,0.475698699,0.354982515
237,6328,362,476,239,264719,34413.47,230305.53,1689.9,518,0.87,0.399478508,0.267051201
238,8133,427,400,398,492038,59044.56,432993.44,2880.72,640,0.88,0.455885897,0.354201402
239,5540,250,475,208,344863,37934.93,306928.07,1465.32,786,0.89,0.395364621,0.264498195
240,4944,335,415,219,357317,17865.85,339451.15,2490.77,540,0.95,0.65549555,0.503796521
241,3530,208,468,282,477513,47751.3,429761.7,3153.44,567,0.9,1.084827195,0.893325779
242,6838,419,445,292,247385,51950.85,195434.15,1300.23,621,0.79,0.316500439,0.190147704
243,6571,295,446,366,380408,34236.72,346171.28,2303.09,642,0.91,0.4632613,0.350493076
244,2192,471,365,323,232380,13942.8,218437.2,1309.64,654,0.94,0.978850365,0.597463504
245,3921,488,479,257,337125,50568.75,286556.25,1368.06,791,0.85,0.595526651,0.348905891
246,6733,273,387,255,252726,53072.46,199653.54,1464.99,502,0.79,0.315608198,0.217583544
247,4868,297,482,409,484455,82357.35,402097.65,2158.55,730,0.83,0.603440838,0.443416187
248,6954,269,460,254,449901,49489.11,400411.89,1911.63,760,0.89,0.379728214,0.274896462
249,9702,239,369,331,488219,63468.47,424750.53,3116.67,590,0.87,0.383907442,0.321239951
250,3993,267,429,436,422811,46509.21,376301.79,2020.07,729,0.89,0.680207864,0.50590283
251,4937,249,433,355,356398,32075.82,324322.18,2157.72,648,0.91,0.575191412,0.437050841
252,5206,325,477,249,235689,44780.91,190908.09,1024.84,734,0.81,0.350910488,0.196857472
253,9310,288,406,418,474670,71200.5,403469.5,2419,683,0.85,0.334371643,0.259828142
254,4976,360,422,289,475864,104690.08,371173.92,1772.04,797,0.78,0.513271704,0.356117363
255,8475,274,486,371,433129,69300.64,363828.36,2420.56,613,0.84,0.375287316,0.285611799
256,3975,285,389,424,385166,96291.5,288874.5,1379.13,770,0.75,0.516510692,0.346950943
257,8119,426,460,214,373411,85884.53,287526.47,1372.7,776,0.77,0.278199286,0.169072546
258,5720,342,496,277,237458,42742.44,194715.56,929.6,787,0.82,0.309020979,0.162517483
259,3149,319,427,436,494690,39575.2,455114.8,3339.47,513,0.92,1.297386472,1.060485869
260,6724,209,434,356,273387,19137.09,254249.91,1524.36,665,0.93,0.322331945,0.226704343
261,7732,285,379,259,483294,43496.46,439797.54,2636.81,694,0.91,0.426902483,0.341025608
262,9671,205,401,401,314134,69109.48,245024.52,1169.78,759,0.78,0.183619067,0.120957502
263,5432,383,457,287,320457,16022.85,304434.15,2233.83,598,0.95,0.565874448,0.411235272
264,2023,303,445,328,402414,80482.8,321931.2,1357.27,803,0.8,1.040667326,0.670919427
265,2331,254,441,226,463471,74155.36,389315.64,1641.37,841,0.84,1.002303732,0.704148434
266,2414,468,464,384,429077,120141.56,308935.44,1852.22,663,0.72,1.153363712,0.767282519
267,5615,251,368,373,443059,70889.44,372169.56,2730.85,576,0.84,0.596589492,0.486349065
268,5690,497,424,287,291805,32098.55,259706.45,1905.63,513,0.89,0.496771529,0.334908612
269,2620,368,380,266,499532,109897.04,389634.96,1642.72,823,0.78,0.91248855,0.626992366
270,5783,404,458,353,248539,34795.46,213743.54,1568.37,586,0.86,0.42026111,0.271203528
271,4100,348,371,223,444569,97805.18,346763.82,2307.03,615,0.78,0.738056098,0.562690244
272,7573,390,367,447,450481,112620.25,337860.75,2025.65,654,0.75,0.367443549,0.267483164
273,6558,354,404,411,393837,110274.36,283562.64,2080.68,576,0.72,0.432857579,0.317273559
274,4056,262,371,419,445488,40093.92,405394.08,2176.24,710,0.91,0.692613412,0.536548323
275,5896,311,466,242,240419,48083.8,192335.2,1411.29,561,0.8,0.371148236,0.239363976
276,7016,460,422,429,248802,32344.26,216457.74,1161.99,722,0.87,0.291332668,0.165620011
277,3926,470,402,269,247655,56960.65,190694.35,1268.69,645,0.77,0.545259806,0.32315079
278,5559,401,475,309,311359,40476.67,270882.33,1454.15,736,0.87,0.419167116,0.261584817
279,7731,216,364,427,488521,83048.57,405472.43,1709.49,828,0.83,0.296144095,0.221121459
280,8846,232,429,316,369126,107046.54,262079.46,1571.3,685,0.71,0.252351345,0.177628307
281,3879,264,353,254,332962,56603.54,276358.46,1838.62,616,0.83,0.633054911,0.473993297
282,2969,217,484,257,480906,139462.74,341443.26,2271.63,700,0.71,1.001222634,0.765116201
283,5107,403,453,224,453413,31738.91,421674.09,2013.14,763,0.93,0.561805365,0.394192285
284,4340,495,492,291,369207,55381.05,313825.95,1881.55,680,0.85,0.660956221,0.433536866
285,2415,494,495,445,252507,22725.63,229781.37,968.77,849,0.91,0.810670807,0.401146998
286,4001,484,428,426,398310,39831,358479,2630.39,582,0.9,0.885376156,0.657433142
287,2564,206,440,378,385707,61713.12,323993.88,1365.97,829,0.84,0.784699688,0.53274961
288,7817,213,461,287,257746,36084.44,221661.56,1626.47,578,0.86,0.294290649,0.208068313
289,5907,241,473,406,471878,56625.36,415252.64,1750.72,815,0.88,0.417254105,0.296380565
290,7998,434,451,215,497026,134197.02,362828.98,2662.31,538,0.73,0.443524631,0.332871968
291,5813,346,484,300,450165,36013.2,414151.8,2483.05,656,0.92,0.56993807,0.427154653
292,4857,492,382,415,389628,35066.52,354561.48,1692.73,786,0.91,0.528459955,0.348513486
293,3694,386,442,258,450949,67642.35,383306.65,2812.57,550,0.85,0.985536004,0.761388738
294,3982,238,373,399,254723,63680.75,191042.25,912.06,791,0.75,0.382486188,0.229045706
295,3653,274,448,279,269599,18871.93,250727.07,1839.75,555,0.93,0.701272926,0.503627156
